name,detail_url,telefon,handy,fax,email,website,address,street,postal_code,city,district,categories
Firma Elektroinstallationen Rosner GmbH,"https://www.hwk-muenchen.de/betriebe/elektroinstallationen-rosner-gmbh-74,0,bdbdetail.html?id=73678",089 1411943,,,elektro-rosner@t-online.de,,"Elektroinstallationen Rosner GmbH, Zettlerstr. 21, 80992 München, Landkreis München, kreisfreie Stadt",Zettlerstr. 21,80992,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker
Firma K & S Schalungsbau GmbH,"https://www.hwk-muenchen.de/betriebe/k-s-schalungsbau-gmbh-74,0,bdbdetail.html?id=21932",089 797080,,089 7900791,kus-bau-muenchen@t-online.de,http://www.ks-schalungsbau.de,"K & S Schalungsbau GmbH, Wolfratshauser Straße 288, 81479 München, Landkreis München, kreisfreie Stadt",Wolfratshauser Straße 288,81479,München,"Landkreis München, kreisfreie Stadt",Maurer und Betonbauer
Firma Studio Stricker GmbH,"https://www.hwk-muenchen.de/betriebe/studio-stricker-gmbh-74,0,bdbdetail.html?id=8852",089 8888802,,089 835276,,,"Studio Stricker GmbH, Planegger Straße 104 a, 81241 München, Landkreis München, kreisfreie Stadt",Planegger Straße 104 a,81241,München,"Landkreis München, kreisfreie Stadt","Einbau von genormten Baufertigteilen (z.B. Fenster, Türen, Zargen, Regale)"
Firma BAUBROS GmbH,"https://www.hwk-muenchen.de/betriebe/baubros-gmbh-74,0,bdbdetail.html?id=401688",089 80954971,0171 2837777,,info@baubros.de,http://www.baubros.de,"BAUBROS GmbH, Spiegelstraße 3, 81241 München, Landkreis München, kreisfreie Stadt",Spiegelstraße 3,81241,München,"Landkreis München, kreisfreie Stadt","Einbau von genormten Baufertigteilen (z.B. Fenster, Türen, Zargen, Regale)"
Firma Alfons Fürmaier GmbH & Co.KG Bauspenglerei Sanitär- und Elektroinstallation,"https://www.hwk-muenchen.de/betriebe/alfons-fuermaier-gmbh-co-kg-bauspenglerei-sanitaer-und-elektroinstallation-74,0,bdbdetail.html?id=37007",,,,,,"Alfons Fürmaier GmbH & Co.KG Bauspenglerei Sanitär- und Elektroinstallation, Germaniastr. 11, 80802 München, Landkreis München, kreisfreie Stadt",Germaniastr. 11,80802,München,"Landkreis München, kreisfreie Stadt",Spengler; Installateur und Heizungsbauer; Elektrotechniker
Firma Trampert Dental GmbH,"https://www.hwk-muenchen.de/betriebe/trampert-dental-gmbh-74,0,bdbdetail.html?id=113876",+49898987870,,+498989878799,,http://www.trampert-dental.de,"Trampert Dental GmbH, Lochhamer Schlag 6, 82166 Gräfelfing, Landkreis München",Trampert Dental GmbH,82166,Gräfelfing,Landkreis München,Zahntechniker
Firma REWE Markt GmbH Zweigniederlassung Eching/Mü.,"https://www.hwk-muenchen.de/betriebe/rewe-markt-gmbh-zweigniederlassung-eching-mue-74,0,bdbdetail.html?id=41176",,,,,,"REWE Markt GmbH Zweigniederlassung Eching/Mü., Ungererstr. 19, 80802 München, Landkreis München, kreisfreie Stadt",Ungererstr. 19,80802,München,"Landkreis München, kreisfreie Stadt",Metzger
Firma Amplifon Deutschland GmbH,"https://www.hwk-muenchen.de/betriebe/amplifon-deutschland-gmbh-74,0,bdbdetail.html?id=220114",,,,,,"Amplifon Deutschland GmbH, Bausewein Allee 2, 81247 München, Landkreis München, kreisfreie Stadt",Bausewein Allee 2,81247,München,"Landkreis München, kreisfreie Stadt",Hörakustiker
Firma Tretter-Schuhe Josef Tretter GmbH & Co KG,"https://www.hwk-muenchen.de/betriebe/tretter-schuhe-josef-tretter-gmbh-co-kg-74,0,bdbdetail.html?id=17627",,,,,,"Tretter-Schuhe Josef Tretter GmbH & Co KG, Messerschmittstraße 4, 80992 München, Landkreis München, kreisfreie Stadt",Messerschmittstraße 4,80992,München,"Landkreis München, kreisfreie Stadt",Schuhmacher (BESCHRAENKT AUF REPARATUR; EN)
Firma Amplifon Deutschland GmbH,"https://www.hwk-muenchen.de/betriebe/amplifon-deutschland-gmbh-74,0,bdbdetail.html?id=221186",,,,,,"Amplifon Deutschland GmbH, Bachbauernstraße 7, 81241 München, Landkreis München, kreisfreie Stadt",Bachbauernstraße 7,81241,München,"Landkreis München, kreisfreie Stadt",Hörakustiker
Firma API Energie- und Versorgungstechnik GmbH,"https://www.hwk-muenchen.de/betriebe/api-energie-und-versorgungstechnik-gmbh-74,0,bdbdetail.html?id=68800",089 89878240,01799191913,089 833557,ziegler@heizung-muenchen.de,http://www.heizung-muenchen.de,"API Energie- und Versorgungstechnik GmbH, Lochhamer Schlag 10, 82166 Gräfelfing, Landkreis München",API Energie- und Versorgungstechnik GmbH,82166,Gräfelfing,Landkreis München,Installateur und Heizungsbauer
Firma Henke & Liebl GmbH,"https://www.hwk-muenchen.de/betriebe/henke-liebl-gmbh-74,0,bdbdetail.html?id=41356",,,,,,"Henke & Liebl GmbH, Netzerstr. 80, 80992 München, Landkreis München, kreisfreie Stadt",Netzerstr. 80,80992,München,"Landkreis München, kreisfreie Stadt",Kraftfahrzeugtechniker
Firma Abex-Bauelemente GmbH,"https://www.hwk-muenchen.de/betriebe/abex-bauelemente-gmbh-74,0,bdbdetail.html?id=74752",089 3089908,0171 3319144,089 3001363,post@abex-bauelemente.de,http://www.abex-bauelemente.de,"Abex-Bauelemente GmbH, Leopoldstraße 128, 80802 München, Landkreis München, kreisfreie Stadt",Leopoldstraße 128,80802,München,"Landkreis München, kreisfreie Stadt","Rollladen- und Sonnenschutztechniker; Metallbauer; Feinwerkmechaniker; Gebäudereiniger; Textilreiniger; Einbau von genormten Baufertigteilen (z.B. Fenster, Türen, Zargen, Regale)"
Firma MAN Truck & Bus Deutschland GmbH,"https://www.hwk-muenchen.de/betriebe/man-truck-bus-deutschland-gmbh-74,0,bdbdetail.html?id=55809",089 85803-0,,089 85803-92,Service.Muenchen-Lochham@man.eu,http://www.mantruckandbus.de,"MAN Truck & Bus Deutschland GmbH, Am Kirchenhölzl 1, 82166 Gräfelfing, Landkreis München",MAN Truck & Bus Deutschland GmbH,82166,Gräfelfing,Landkreis München,Kraftfahrzeugtechniker
Firma Bäckereimaschinen - Reparatur-und Kundendienst GmbH,"https://www.hwk-muenchen.de/betriebe/baeckereimaschinen-reparatur-und-kundendienst-gmbh-74,0,bdbdetail.html?id=148583",089 851602,,089 8542408,info@baeckereimaschinen-kd.de,http://www.baeckereimaschinen-kd.de,"Bäckereimaschinen - Reparatur-und Kundendienst GmbH, Am Kirchenhölzl 7, 82166 Gräfelfing, Landkreis München",Bäckereimaschinen - Reparatur-und Kundendienst GmbH,82166,Gräfelfing,Landkreis München,Feinwerkmechaniker
Firma Alarmanlagen Mayr GmbH,"https://www.hwk-muenchen.de/betriebe/alarmanlagen-mayr-gmbh-74,0,bdbdetail.html?id=395991",+498981898021,,+498981898067,info@alarmanlagen-mayr.de,http://www.alarmanlagen-mayr.de,"Alarmanlagen Mayr GmbH, Seeholzenstr. 8, 82166 Gräfelfing, Landkreis München",Seeholzenstr. 8,82166,Gräfelfing,Landkreis München,Elektrotechniker
Firma ASM Fernmeldegeräte Vertrieb u. Service GmbH,"https://www.hwk-muenchen.de/betriebe/asm-fernmeldegeraete-vertrieb-u-service-gmbh-74,0,bdbdetail.html?id=79305",089 852060,,089 8545994,info@asm-fernmeldegeraete.de,,"ASM Fernmeldegeräte Vertrieb u. Service GmbH, Seeholzenstraße 8, 82166 Gräfelfing, Landkreis München",Seeholzenstraße 8,82166,Gräfelfing,Landkreis München,Elektrotechniker
Firma S & E Glasdesign GmbH,"https://www.hwk-muenchen.de/betriebe/s-e-glasdesign-gmbh-74,0,bdbdetail.html?id=143605",089 7695517,,089 7439590,info@se-glassdesign.de,,"S & E Glasdesign GmbH, Am Kirchenhölzl 15, 82166 Gräfelfing, Landkreis München",S & E Glasdesign GmbH,82166,Gräfelfing,Landkreis München,"Einbau von genormten Baufertigteilen (z.B. Fenster, Türen, Zargen, Regale)"
Firma Reynartz GmbH Lufttechnik,"https://www.hwk-muenchen.de/betriebe/reynartz-gmbh-lufttechnik-74,0,bdbdetail.html?id=139280",089 858362-0,,089 858362-62,,http://www.reynartz.de,"Reynartz GmbH Lufttechnik, Am Haag 9, 82166 Gräfelfing, Landkreis München",Reynartz GmbH Lufttechnik,82166,Gräfelfing,Landkreis München,"Installateur und Heizungsbauer (ZENTRALHEIZUNGS- UND; LUEFTUNGSBAU, BESCHRAENKT; AUF DEN LUEFTUNGSBAU;; Kaelteanlagenbau beschr.; auf Installation von vor-; gefertigten Kaelteanlagen; u.Kaltwassererzeugern f.; klimatechn. Einsatz); Kälteanlagenbauer (ZENTRALHEIZUNGS- UND; LUEFTUNGSBAU, BESCHRAENKT; AUF DEN LUEFTUNGSBAU;; Kaelteanlagenbau beschr.; auf Installation von vor-; gefertigten Kaelteanlagen; u.Kaltwassererzeugern f.; klimatechn. Einsatz)"
Firma Hierhammer Kältetechnik GmbH,"https://www.hwk-muenchen.de/betriebe/hierhammer-kaeltetechnik-gmbh-74,0,bdbdetail.html?id=352430",089 5028816,,089 507391,,,"Hierhammer Kältetechnik GmbH, Lohenstraße 9, 82166 Gräfelfing, Landkreis München",Lohenstraße 9,82166,Gräfelfing,Landkreis München,Kälteanlagenbauer
Firma ESH Bau GmbH,"https://www.hwk-muenchen.de/betriebe/esh-bau-gmbh-74,0,bdbdetail.html?id=8120",089 837969,,089 569781,,,"ESH Bau GmbH, Alte Pasinger Straße 108, 82166 Gräfelfing, Landkreis München",Alte Pasinger Straße 108,82166,Gräfelfing,Landkreis München,"Installateur und Heizungsbauer; Elektrotechniker; Fliesen-, Platten- und Mosaikleger"
Firma Güteclean Gebäudereinigungs GmbH,"https://www.hwk-muenchen.de/betriebe/gueteclean-gebaeudereinigungs-gmbh-74,0,bdbdetail.html?id=37141",084 24291830,,089 24291831,info@gueteclean.de,http://www.gueteclean.de,"Güteclean Gebäudereinigungs GmbH, Prinzregentenstr. 124, 81677 München, Landkreis München, kreisfreie Stadt",Prinzregentenstr. 124,81677,München,"Landkreis München, kreisfreie Stadt",Gebäudereiniger
Firma THG Abwassertechnik GmbH,"https://www.hwk-muenchen.de/betriebe/thg-abwassertechnik-gmbh-74,0,bdbdetail.html?id=59500",089 7559246,,089 757157,info@thg-abwassertechnik.de,http://www.thg-abwassertechnik.de,"THG Abwassertechnik GmbH, Grundstr. 44, 82061 Neuried, (, Kr München), Landkreis München",Grundstr. 44,82061,Neuried,Landkreis München,Rohr- und Kanalreiniger
Firma Autohaus Tekin GmbH,"https://www.hwk-muenchen.de/betriebe/autohaus-tekin-gmbh-74,0,bdbdetail.html?id=68841",,,,,,"Autohaus Tekin GmbH, Leopoldstraße 129, 80804 München, Landkreis München, kreisfreie Stadt",Leopoldstraße 129,80804,München,"Landkreis München, kreisfreie Stadt",Kraftfahrzeugtechniker; Karosserie- und Fahrzeugbauer
Firma Optimal Gebäudeservice GmbH,"https://www.hwk-muenchen.de/betriebe/optimal-gebaeudeservice-gmbh-74,0,bdbdetail.html?id=222077",089 14345180,,089143451829,,,"Optimal Gebäudeservice GmbH, Dessauerstraße 7, 80992 München, Landkreis München, kreisfreie Stadt",Dessauerstraße 7,80992,München,"Landkreis München, kreisfreie Stadt",Gebäudereiniger
Firma Norkauer GmbH,"https://www.hwk-muenchen.de/betriebe/norkauer-gmbh-74,0,bdbdetail.html?id=101070",+4989 290910-0,+49151 165 16 100,+4989 290910-10,info@norkauer.de,http://www.norkauer.de,"Norkauer GmbH, Echardinger Straße 121, 81671 München, Landkreis München, kreisfreie Stadt",Echardinger Straße 121,81671,München,"Landkreis München, kreisfreie Stadt",Parkettleger
Firma X-Rite GmbH,"https://www.hwk-muenchen.de/betriebe/x-rite-gmbh-74,0,bdbdetail.html?id=147802",089 85707-0,,089 85707-111,info@gretagmacbeth.de,http://www.GretagMacbeth.de,"X-Rite GmbH, Fraunhoferstraße 11 b, 82152 Martinsried, Landkreis München",Fraunhoferstraße 11 b,82152,Martinsried,Landkreis München,Elektrotechniker
Firma Romanow GmbH Malerwerkstätte,"https://www.hwk-muenchen.de/betriebe/romanow-gmbh-malerwerkstaette-74,0,bdbdetail.html?id=73677",089 701989,,089 705117,info@maler-romanow.de,,"Romanow GmbH Malerwerkstätte, Am Kirchenhölzl 10 a, 82166 Gräfelfing, Landkreis München",Romanow GmbH Malerwerkstätte,82166,Gräfelfing,Landkreis München,Maler und Lackierer; Stuckateur; Raumausstatter
Firma SchlüsselXpert GmbH,"https://www.hwk-muenchen.de/betriebe/schluesselxpert-gmbh-74,0,bdbdetail.html?id=349832",089 31231055,0176 48137503,,info@schluesselxpert.de,,"SchlüsselXpert GmbH, Feldmochinger Straße 27, 80992 München, Landkreis München, kreisfreie Stadt",Feldmochinger Straße 27,80992,München,"Landkreis München, kreisfreie Stadt","Einbau von genormten Baufertigteilen (z.B. Fenster, Türen, Zargen, Regale)"
Firma High & Cars GmbH,"https://www.hwk-muenchen.de/betriebe/high-cars-gmbh-74,0,bdbdetail.html?id=221486",,,,,,"High & Cars GmbH, Mühlbaurstraße 45, 81677 München, Landkreis München, kreisfreie Stadt",Mühlbaurstraße 45,81677,München,"Landkreis München, kreisfreie Stadt",Kraftfahrzeugtechniker
Firma BML GmbH,"https://www.hwk-muenchen.de/betriebe/bml-gmbh-74,0,bdbdetail.html?id=182536",,,,,,"BML GmbH, Am Kirchenhölzl 14, 82166 Gräfelfing, Landkreis München",BML GmbH,82166,Gräfelfing,Landkreis München,"Elektrotechniker; Einbau von genormten Baufertigteilen (z.B. Fenster, Türen, Zargen, Regale)"
Firma Greither GmbH,"https://www.hwk-muenchen.de/betriebe/greither-gmbh-74,0,bdbdetail.html?id=21760",089 7143012,,089 7195168,cwinter@greither.com,http://www.greither.com,"Greither GmbH, Pasinger Str. 90, 82166 Gräfelfing, Landkreis München",Pasinger Str. 90,82166,Gräfelfing,Landkreis München,Installateur und Heizungsbauer
Firma Abflußblitz Rohr- und Kanalreinigungs GmbH,"https://www.hwk-muenchen.de/betriebe/abflussblitz-rohr-und-kanalreinigungs-gmbh-74,0,bdbdetail.html?id=3119",089 6302800,,089 63028019,,,"Abflußblitz Rohr- und Kanalreinigungs GmbH, Ottobrunner Straße 13, 81737 München, Landkreis München, kreisfreie Stadt",Ottobrunner Straße 13,81737,München,"Landkreis München, kreisfreie Stadt",Straßenbauer (beschränkt auf Kanalbau); Installateur und Heizungsbauer; Rohr- und Kanalreiniger
Firma Elly Seidl GmbH,"https://www.hwk-muenchen.de/betriebe/elly-seidl-gmbh-74,0,bdbdetail.html?id=50208",089 832703,,,,,"Elly Seidl GmbH, Seeholzenstraße 6 a, 82166 Gräfelfing, Landkreis München",Seeholzenstraße 6 a,82166,Gräfelfing,Landkreis München,Konditoren
Firma Ruppe Bau GmbH,"https://www.hwk-muenchen.de/betriebe/ruppe-bau-gmbh-74,0,bdbdetail.html?id=388288",089 21527730,,,info@ruppebau.de,,"Ruppe Bau GmbH, Seeholzenstraße 2, 82166 Gräfelfing, Landkreis München",Seeholzenstraße 2,82166,Gräfelfing,Landkreis München,"Holz- und Bautenschützer (Mauerschutz und Holzimprägnierung in Gebäuden); Gebäudereiniger; Betonbohrer und -schneider; Bodenleger; Einbau von genormten Baufertigteilen (z.B. Fenster, Türen, Zargen, Regale); Kabelverleger im Hochbau (ohne Anschlussarbeiten); Bautentrocknungsgewerbe"
Firma Rackl's Backstub'n Bäckerei und Konditorei Rackl GmbH & Co,"https://www.hwk-muenchen.de/betriebe/rackls-backstubn-baeckerei-und-konditorei-rackl-gmbh-co-74,0,bdbdetail.html?id=35755",,,,,,"Rackl's Backstub'n Bäckerei und Konditorei Rackl GmbH & Co, Einsteinstr. 5, 82152 Planegg, Landkreis München",Einsteinstr. 5,82152,Planegg,Landkreis München,Bäcker
Firma Elektro Beer GmbH,"https://www.hwk-muenchen.de/betriebe/elektro-beer-gmbh-74,0,bdbdetail.html?id=110692",+49 89 89427242,0171 6556440,,info@el-beer.de,,"Elektro Beer GmbH, Seeholzenstraße 2 a, 82166 Gräfelfing, Landkreis München",Seeholzenstraße 2 a,82166,Gräfelfing,Landkreis München,Elektrotechniker
Firma Czesch Elektroanlagen GmbH,"https://www.hwk-muenchen.de/betriebe/czesch-elektroanlagen-gmbh-74,0,bdbdetail.html?id=36484",089 14349494,,089 14349495,,,"Czesch Elektroanlagen GmbH, Bodenseestraße 25, 81241 München, Landkreis München, kreisfreie Stadt",Bodenseestraße 25,81241,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker
Firma Müller & Sattler Uhrenbausatz GmbH,"https://www.hwk-muenchen.de/betriebe/mueller-sattler-uhrenbausatz-gmbh-74,0,bdbdetail.html?id=163518",089 852090,,,,,"Müller & Sattler Uhrenbausatz GmbH, Lohenstr. 6, 82166 Gräfelfing, Landkreis München",Lohenstr. 6,82166,Gräfelfing,Landkreis München,Uhrmacher
Firma J. Spanko GmbH,"https://www.hwk-muenchen.de/betriebe/j-spanko-gmbh-74,0,bdbdetail.html?id=252264",,0173 8652944,,,,"J. Spanko GmbH, Neunerstraße 7, 82061 Neuried, Landkreis München",Neunerstraße 7,82061,Neuried,Landkreis München,"Bautentrocknungsgewerbe; Bodenleger; Holz- und Bautenschützer (Mauerschutz und Holzimprägnierung in Gebäuden); Fliesen-, Platten- und Mosaikleger; Raumausstatter; Werkstein- und Terrazzohersteller; Einbau von genormten Baufertigteilen (z.B. Fenster, Türen, Zargen, Regale); Betonbohrer und -schneider; Estrichleger; Parkettleger; Rohr- und Kanalreiniger; Rollladen- und Sonnenschutztechniker; Kabelverleger im Hochbau (ohne Anschlussarbeiten); Metallbauer"
Firma Aadeco GmbH,"https://www.hwk-muenchen.de/betriebe/aadeco-gmbh-74,0,bdbdetail.html?id=192910",089 156897,0170 8116056,089 15929635,Aadeco-GmbH@hotmail.de,http://www.aadeco-gmbh.de,"Aadeco GmbH, Menzelstraße 2 a, 81679 München, Landkreis München, kreisfreie Stadt",Menzelstraße 2 a,81679,München,"Landkreis München, kreisfreie Stadt",Maler und Lackierer
Firma H K R Gebäudetechnik GmbH,"https://www.hwk-muenchen.de/betriebe/h-k-r-gebaeudetechnik-gmbh-74,0,bdbdetail.html?id=364305",,0173 5709048,,heisam.khallaf@hkr-gebaeudetechnik.de,,"H K R Gebäudetechnik GmbH, Franz-Fihl-Straße 5, 80992 München, Landkreis München, kreisfreie Stadt",Franz-Fihl-Straße 5,80992,München,"Landkreis München, kreisfreie Stadt",Installateur und Heizungsbauer
Firma Allmendinger GmbH,"https://www.hwk-muenchen.de/betriebe/allmendinger-gmbh-74,0,bdbdetail.html?id=88097",089 3514045,,089 3515410,allmendinger-rolladen@t-online.de,,"Allmendinger GmbH, Riesenfeldstraße 16, 80809 München, Landkreis München, kreisfreie Stadt",Riesenfeldstraße 16,80809,München,"Landkreis München, kreisfreie Stadt",Rollladen- und Sonnenschutztechniker
Firma Karl Schultz & Sohn GmbH,"https://www.hwk-muenchen.de/betriebe/karl-schultz-sohn-gmbh-74,0,bdbdetail.html?id=69191",089 403077,,089 493078,karl-schultz-sohn@gmx.de,,"Karl Schultz & Sohn GmbH, Hechtseestraße 8 a, 81671 München, Landkreis München, kreisfreie Stadt",Hechtseestraße 8 a,81671,München,"Landkreis München, kreisfreie Stadt",Spengler; Dachdecker
Firma Motz Elektroinstallation GmbH,"https://www.hwk-muenchen.de/betriebe/motz-elektroinstallation-gmbh-74,0,bdbdetail.html?id=36945",,,,,,"Motz Elektroinstallation GmbH, Frauenhoferstraße 12, 82152 Martinsried, Landkreis München",Frauenhoferstraße 12,82152,Martinsried,Landkreis München,Elektrotechniker
Firma Fliesen-Brendel GmbH,"https://www.hwk-muenchen.de/betriebe/fliesen-brendel-gmbh-74,0,bdbdetail.html?id=4432",089 89052450,,089 890524529,info@brendel-muenchen.de,,"Fliesen-Brendel GmbH, Verdistraße 72, 81247 München, Landkreis München, kreisfreie Stadt",Verdistraße 72,81247,München,"Landkreis München, kreisfreie Stadt","Fliesen-, Platten- und Mosaikleger"
Firma Arber Bau GmbH,"https://www.hwk-muenchen.de/betriebe/arber-bau-gmbh-74,0,bdbdetail.html?id=230228",089 82086898,,089 82086898,info@arber-bau.de,,"Arber Bau GmbH, Neufeldstraße 5 a, 81243 München, Landkreis München, kreisfreie Stadt",Neufeldstraße 5 a,81243,München,"Landkreis München, kreisfreie Stadt",Maurer und Betonbauer
Firma Hörgeräte Seifert GmbH,"https://www.hwk-muenchen.de/betriebe/hoergeraete-seifert-gmbh-74,0,bdbdetail.html?id=210204",,,,,,"Hörgeräte Seifert GmbH, Hanauer Str. 65, 80993 München, Landkreis München, kreisfreie Stadt",Hanauer Str. 65,80993,München,"Landkreis München, kreisfreie Stadt",Hörakustiker
Firma Franz Geisler GmbH,"https://www.hwk-muenchen.de/betriebe/franz-geisler-gmbh-74,0,bdbdetail.html?id=27570",,,,,,"Franz Geisler GmbH, Ottobrunner Straße 35 - 37, 81737 München, Landkreis München, kreisfreie Stadt",Ottobrunner Straße 35 - 37,81737,München,"Landkreis München, kreisfreie Stadt",Glaser; Glasveredler
Firma Gumpp Hausmeisterdienste GmbH,"https://www.hwk-muenchen.de/betriebe/gumpp-hausmeisterdienste-gmbh-74,0,bdbdetail.html?id=148676",089 5234555,,,,,"Gumpp Hausmeisterdienste GmbH, Altöttinger Straße 33, 81673 München, Landkreis München, kreisfreie Stadt",Altöttinger Straße 33,81673,München,"Landkreis München, kreisfreie Stadt",Holz- und Bautenschützer (Mauerschutz und Holzimprägnierung in Gebäuden); Teppichreiniger
Firma Breitenfeld Volarum Raumausstattung GmbH,"https://www.hwk-muenchen.de/betriebe/breitenfeld-volarum-raumausstattung-gmbh-74,0,bdbdetail.html?id=230545",089-12309537,0176-61613186,,,,"Breitenfeld Volarum Raumausstattung GmbH, Rümannstr. 5, 80804 München, Landkreis München, kreisfreie Stadt",Rümannstr. 5,80804,München,"Landkreis München, kreisfreie Stadt",Raumausstatter
Firma MalTec GmbH,"https://www.hwk-muenchen.de/betriebe/maltec-gmbh-74,0,bdbdetail.html?id=97694",089 74500240,,089 74500241,info@mal-tec.com,http://www.mal-tec.com,"MalTec GmbH, Neumarkter Straße 23, 81673 München, Landkreis München, kreisfreie Stadt",Neumarkter Straße 23,81673,München,"Landkreis München, kreisfreie Stadt","Maler und Lackierer; Fuger (im Hochbau); Einbau von genormten Baufertigteilen (z.B. Fenster, Türen, Zargen, Regale); Bodenleger"
Firma Simon Walser GmbH & Co. KG Fliesenfachgeschäft und Baustoffgroßhandel,"https://www.hwk-muenchen.de/betriebe/simon-walser-gmbh-co-kg-fliesenfachgeschaeft-und-baustoffgrosshandel-74,0,bdbdetail.html?id=105868",089 43650091,,089 4316592,info@fliesen-walser.de,,"Simon Walser GmbH & Co. KG Fliesenfachgeschäft und Baustoffgroßhandel, Neumarkter Straße 23, 81673 München, Landkreis München, kreisfreie Stadt",Neumarkter Straße 23,81673,München,"Landkreis München, kreisfreie Stadt","Fliesen-, Platten- und Mosaikleger"
Firma Pellkofer Sanitär GmbH,"https://www.hwk-muenchen.de/betriebe/pellkofer-sanitaer-gmbh-74,0,bdbdetail.html?id=199737",,,,,,"Pellkofer Sanitär GmbH, Albert-Schweitzer-Straße 18 c, 82152 Planegg, Landkreis München",Albert-Schweitzer-Straße 18 c,82152,Planegg,Landkreis München,Installateur und Heizungsbauer
Firma Glaserei Salzinger GmbH & Co. KG,"https://www.hwk-muenchen.de/betriebe/glaserei-salzinger-gmbh-co-kg-74,0,bdbdetail.html?id=184140",+49891496665,,+49891410297,info@glaserei-salzinger.de,http://www.glaserei-salzinger.de,"Glaserei Salzinger GmbH & Co. KG, Baubergerstraße 3, 80992 München, Landkreis München, kreisfreie Stadt",Baubergerstraße 3,80992,München,"Landkreis München, kreisfreie Stadt",Glaser
Firma Steichele GmbH,"https://www.hwk-muenchen.de/betriebe/steichele-gmbh-74,0,bdbdetail.html?id=13155",089 88948600,,089 889496010,kfz@steichele-gmbh.de,,"Steichele GmbH, Bodenseestraße 37, 81243 München, Landkreis München, kreisfreie Stadt",Bodenseestraße 37,81243,München,"Landkreis München, kreisfreie Stadt",Kraftfahrzeugtechniker
Firma Malereibetrieb Michael Dombrowski GmbH,"https://www.hwk-muenchen.de/betriebe/malereibetrieb-michael-dombrowski-gmbh-74,0,bdbdetail.html?id=205986",089-36100181,,089-36103081,,,"Malereibetrieb Michael Dombrowski GmbH, Ungererstraße 70, 80805 München, Landkreis München, kreisfreie Stadt",Ungererstraße 70,80805,München,"Landkreis München, kreisfreie Stadt",Maler und Lackierer
Firma Zeidler GmbH,"https://www.hwk-muenchen.de/betriebe/zeidler-gmbh-74,0,bdbdetail.html?id=110279",089 89800333,0151 14630660,089 89800335,,,"Zeidler GmbH, Kirchweg 7, 82166 Gräfelfing, Landkreis München",Kirchweg 7,82166,Gräfelfing,Landkreis München,Elektrotechniker
Firma Modul München GmbH,"https://www.hwk-muenchen.de/betriebe/modul-muenchen-gmbh-74,0,bdbdetail.html?id=35708",089 89620967,0171 9410150,089 89620968,info@modul-muenchen.de,http://www.modul-muenchen.de,"Modul München GmbH, Pelkovenstraße 79, 80992 München, Landkreis München, kreisfreie Stadt",Pelkovenstraße 79,80992,München,"Landkreis München, kreisfreie Stadt","Einbau von genormten Baufertigteilen (z.B. Fenster, Türen, Zargen, Regale); Bodenleger; Holz- und Bautenschützer (Mauerschutz und Holzimprägnierung in Gebäuden); Fuger (im Hochbau); Fliesen-, Platten- und Mosaikleger"
Firma Rudolf Schweiger Abdichtung u.Isolierbau-GmbH & Co.KG.,"https://www.hwk-muenchen.de/betriebe/rudolf-schweiger-abdichtung-u-isolierbau-gmbh-co-kg-74,0,bdbdetail.html?id=32363",,,089 89892675,info@schweiger-flachdach.de,,"Rudolf Schweiger Abdichtung u.Isolierbau-GmbH & Co.KG., Bussardstraße 10 a, 82166 Gräfelfing, Landkreis München",Bussardstraße 10 a,82166,Gräfelfing,Landkreis München,Dachdecker; Spengler
Firma Josef Roßmann GmbH,"https://www.hwk-muenchen.de/betriebe/josef-rossmann-gmbh-74,0,bdbdetail.html?id=3083",,0152 06427057,,info@rossmann-estriche.de,http://www.rossmann-estriche.de,"Josef Roßmann GmbH, Fraunhoferstraße 5, 82152 Planegg, Landkreis München",Fraunhoferstraße 5,82152,Planegg,Landkreis München,Estrichleger; Maurer und Betonbauer; Bodenleger
Firma EigenWatt.de GmbH,"https://www.hwk-muenchen.de/betriebe/eigenwatt-de-gmbh-74,0,bdbdetail.html?id=395568",,+4915168580100,,info@eigenwatt.de,,"EigenWatt.de GmbH, Adolf-Hackenberg-Straße 29, 81737 München, Landkreis München, kreisfreie Stadt",Adolf-Hackenberg-Straße 29,81737,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker; Informationstechniker; Feinwerkmechaniker
Firma Faßnacht + Lang Messeservice GmbH,"https://www.hwk-muenchen.de/betriebe/fassnacht-lang-messeservice-gmbh-74,0,bdbdetail.html?id=73416",089 8999610,,089 89996161,,,"Faßnacht + Lang Messeservice GmbH, Fraunhoferstraße 3, 82152 Martinsried, Landkreis München",Fraunhoferstraße 3,82152,Martinsried,Landkreis München,Maler und Lackierer; Stuckateur; Raumausstatter
Firma Martin Faßnacht GmbH,"https://www.hwk-muenchen.de/betriebe/martin-fassnacht-gmbh-74,0,bdbdetail.html?id=106102",+4989 8999610,,+4989 89996161,fassnacht@fassnacht-gmbh.de,http://www.maler-fassnacht.de,"Martin Faßnacht GmbH, Fraunhoferstraße 3, 82152 Planegg, Landkreis München",Fraunhoferstraße 3,82152,Planegg,Landkreis München,Maler und Lackierer; Stuckateur; Raumausstatter
